file	TF
wgEncodeSydhTfbsGm12878Stat1StdSig.bigWig	Stat1
wgEncodeSydhTfbsGm12878Stat3IggmusSig.bigWig	Stat3
wgEncodeSydhTfbsGm12878Yy1StdSig.bigWig	Yy1
wgEncodeSydhTfbsGm12878Znf143166181apStdSig.bigWig	Znf143
wgEncodeSydhTfbsGm12878Znf274StdSig.bigWig	Znf274
wgEncodeSydhTfbsGm12878Znf384hpa004051IggmusSig.bigWig	Znf384
wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdSig.bigWig	CTCF
wgEncodeSydhTfbsGm12878Rad21IggrabSig.bigWig	Rad21
wgEncodeSydhTfbsGm12878Pol2IggmusSig.bigWig	Pol2
wgEncodeSydhTfbsGm12878NfkbTnfaIggrabSig.bigWig	Nfkb
